Restaurant_Name	Restaurant_URL	Cuisine_Type	Address
No Fun: Featuring Dorante's Cocina	/ny/new-york/358105-no-fun-featuring-dorante-s-cocina/menu/	Bar Food, Cocktails	161 Ludlow St New York, NY, 10002
Estela	/ny/new-york/357297-estela/menu/	Mediterranean, Tapas	47 E Houston St New York, NY, 10012
Ciccio	/ny/new-york/356687-ciccio/menu/	Italian	190 6th Ave New York, NY, 10013
Bagel Boss	/ny/new-york/368500-bagel-boss/menu/	Deli Food, Bagels, Salads, Kosher	544 3rd Ave New York, NY, 10016
Cafe Standard	/ny/new-york/378993-cafe-standard/menu/	American	25 Cooper Sq New York, NY, 10003
1200 Miles	/ny/new-york/378990-1200-miles/menu/	French	31 W 21st St New York, NY, 10010
Fahima Halal	/ny/new-york/361473-fahima-halal/menu/	Middle Eastern	47th St New York, NY, 10017
XPL Halal Food Truck	/ny/new-york/361539-xpl-halal-food-truck/menu/	Middle Eastern	SW Corner of 48th St & Park Ave New York, NY, 10017
12 Corners	/ny/new-york/361702-12-corners/menu/	Coffee & Tea, Sandwiches	155 E Broadway New York, NY, 10002
Nourish Kitchen and Table	/ny/new-york/361897-nourish-kitchen-and-table/menu/	American (New), Vegetarian, Local/Organic	95 Greenwich Ave New York, NY, 10014
Gogo Grill	/ny/new-york/362949-gogo-grill/menu/	Sandwiches	1 Bowling Green New York, NY, 10004
Rex Coffee	/ny/new-york/362955-rex-coffee/menu/	Coffee & Tea, Sandwiches	864 10th Ave New York, NY, 10019
David's Tea	/ny/new-york/363596-david-s-tea/menu/	Teahouses	688 6th Ave New York, NY, 10010
Prime Butcher Baker	/ny/new-york/363962-prime-butcher-baker/menu/	Deli Food, Kosher, Eastern European	1572 2nd Ave New York, NY, 10028
Felice	/ny/new-york/364180-felice/menu/	Italian, Alcohol	15 Gold St New York, NY, 10038
Hibachi Heaven	/ny/new-york/365034-hibachi-heaven/menu/	Japanese	Location Varies New York, NY, 10018
Blu Cafe	/ny/new-york/365758-blu-cafe/menu/	Coffee & Tea, Teahouses	120 Riverside Blvd New York, NY, 10069
Yours Wholesome Foods Deli & Grocery	/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/	Deli Food, Sandwiches, Smoothies & Juices	159 Essex St New York, NY, 10002
Pushcart Coffee	/ny/new-york/366185-pushcart-coffee/menu/	Coffee & Tea	362 2nd Ave New York, NY, 10010
El Kiosko Deli Grocery	/ny/new-york/366778-el-kiosko-deli-grocery/menu/	Mexican, Deli Food, Sandwiches	37-18 31st Ave New York, NY, 11103
Hudson Terrace	/ny/new-york/367654-hudson-terrace/menu/	Eclectic & International, Tapas, Cocktails	621 W 46th St New York, NY, 10036
