Index,Dish_Name,Restaurant_Name,Similar_Dishes,Similar_Indexes,Similar_Scores
26,aegean wrap,['Benvenuto Tribeca'],"['avocado', 'avocado', 'avocado', 'avocado', 'avocado', 'avocado', 'avocado', 'mackerel', 'chai tea spice', 'chai', 'chai', 'chai', 'green olives', 'green olives']","['/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/352334-rumours/menu/', '/ny/new-york/357297-estela/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/360181-macchiato-espresso-bar/menu/', '/ny/new-york/364180-felice/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/333616-ajisai-japanese-restaurant/menu/', '/ny/new-york/228156-emack-bolio-s/menu/', '/ny/new-york/228156-emack-bolio-s/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/360181-macchiato-espresso-bar/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/']","[10, 10, 10, 10, 10, 10, 10, 10, 5, 5, 5, 5, 4, 4]"
27,age dashi tofu,['Ippin'],"['delicious crab', 'dececco spaghetti', 'chicken soup', 'seafood salad sandwich', 'seafood salad sandwich', 'seafood salad sandwich', 'tuna roll', 'tuna roll']","['/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/363962-prime-butcher-baker/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/333616-ajisai-japanese-restaurant/menu/', '/ny/new-york/335043-ageha-sushi/menu/']","[3, 3, 1, 1, 1, 1, 1, 1]"
28,age tofu,"['Ajisai Japanese Restaurant\n Ajisai Japanese Restaurant', 'Ageha Sushi']","['tofu salad', 'tomato onion salad', 'veal milanese', 'grilled eggplant', 'mouth buster']","['/ny/new-york/361013-salud-soho/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/318419-la-bella-vita/menu/', '/ny/new-york/478376-cafe-clover/menu/', '/ny/new-york/355931-delimarie/menu/']","[8, 8, 6, 5, 5]"
29,aged new york strip loin,['1200 Miles'],"['roast beef au jus', 'prime rib french dip', 'rosemary grilled chicken', 'chicken plate', 'chicken francaise', 'chicken francaise']","['/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/352334-rumours/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/360673-taqueria-diana/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/352334-rumours/menu/']","[5, 5, 4, 4, 4, 4]"
30,ahi tuna sliders,['Benvenuto Tribeca'],"['beef with egg on rice', 'long live noodle', 'arnold breads', 'gyuniku', 'vegetable tofu soup', 'vegetable tofu soup']","['/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/250130-hop-lee-restaurant/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/365034-hibachi-heaven/menu/', '/ny/new-york/333616-ajisai-japanese-restaurant/menu/', '/ny/new-york/335043-ageha-sushi/menu/']","[5, 5, 4, 3, 2, 2]"
31,aidells smoked sausage oz,['Yours Wholesome Foods Deli & Grocery'],"['lb smoked tuna salad', 'home fries', 'home fries', 'homepotatoes', 'kobe beef rice', 'grilled red snapper']","['/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/355931-delimarie/menu/', '/ny/new-york/363962-prime-butcher-baker/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/']","[4, 4, 4, 4, 4, 4]"
32,al pastor burrito,['Taqueria Diana'],"['guacamole a pico de gallo', 'chicken tacos', 'carne asada quesadilla', 'queso fundido', 'cajun chicken quesadilla']","['/ny/new-york/386418-confessional/menu/', '/ny/new-york/386430-tio-luca-cocina-vino-bar/menu/', '/ny/new-york/360673-taqueria-diana/menu/', '/ny/new-york/380213-mexican-festival-restaurant/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/']","[8, 8, 4, 4, 1]"
33,al pastor quesadilla,['Taqueria Diana'],"['cheese quesadilla', 'cheese quesadilla', 'cheese quesadilla', 'cheese quesadilla', 'cheese quesadilla', 'cheese quesadilla', 'cheese quesadilla', 'wings al pastor', 'chips and salsa', 'chips and salsa', 'tortilla chips', 'tortilla chips', 'tortilla chips  salsa']","['/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/352334-rumours/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/358105-no-fun-featuring-dorante-s-cocina/menu/', '/ny/new-york/337547-pinche-taqueria/menu/', '/ny/new-york/358105-no-fun-featuring-dorante-s-cocina/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/']","[7, 7, 7, 7, 7, 7, 7, 6, 5, 5, 5, 5, 5]"
34,al pastor taco,['Taqueria Diana'],"['mexican corn', 'adobo chicken', 'carne tampiquena', 'sopa tarasca', 'mini beef empanada']","['/ny/new-york/358105-no-fun-featuring-dorante-s-cocina/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/380213-mexican-festival-restaurant/menu/', '/ny/new-york/380213-mexican-festival-restaurant/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/']","[5, 5, 3, 3, 3]"
35,ala king,"[""Andy's Deli""]","['caldo de pollo', 'home fries', 'home fries', 'homepotatoes', 'tortilla soup', 'tortilla soup', 'potatoes obrien']","['/ny/new-york/380213-mexican-festival-restaurant/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/355931-delimarie/menu/', '/ny/new-york/337547-pinche-taqueria/menu/', '/ny/new-york/358105-no-fun-featuring-dorante-s-cocina/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/']","[6, 5, 5, 5, 4, 4, 4]"
