Index,Dish_Name,Restaurant_Name,Similar_Dishes,Similar_Indexes,Similar_Scores
2221,hand soap,['Yours Wholesome Foods Deli & Grocery'],"['jalapeno', 'fresh guacamole', 'mango salsa', 'seafood combination', 'boller']","['/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/380213-mexican-festival-restaurant/menu/', '/ny/new-york/335043-ageha-sushi/menu/', '/ny/new-york/250130-hop-lee-restaurant/menu/', '/ny/new-york/358848-nordic-delicacies-inc/menu/']","[1, 1, 1, 1, 1]"
2222,handcut fries,['Felice'],"['pommes frites', 'pommes frites', 'home fries hash brown oven baked potato', 'homemade mashed potatoes', 'homemade mashed potatoes', 'sweet potato fries', 'sweet potato fries', 'two eggs on a roll sandwich']","['/ny/new-york/354373-sky-room/menu/', '/ny/new-york/361030-le-baratin/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/']","[10, 10, 10, 9, 9, 9, 9, 8]"
2223,hanger steak,"['SakaMai', ""Andy's Deli"", 'Monte-Carlo']","['seared hanger steak', 'grilled hanger steak', 'stuffed lamb breast', 'tuna cucumber', 'steak with chimichurri']","['/ny/new-york/361030-le-baratin/menu/', '/ny/new-york/361897-nourish-kitchen-and-table/menu/', '/ny/new-york/2990-byblos/menu/', '/ny/new-york/334552-ippin/menu/', '/ny/new-york/361897-nourish-kitchen-and-table/menu/']","[7, 7, 3, 2, 2]"
2224,hanger steak frites,['North River'],"['flat iron steak', 'go veggie sliced cheese', 'side of home fried potatoes', 'seared hanger steak', 'potato']","['/ny/new-york/352130-lucky-strike-lanes/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/361030-le-baratin/menu/', '/ny/new-york/363962-prime-butcher-baker/menu/']","[4, 2, 1, 1, 1]"
2225,hanger steak meatloaf,"[""Andy's Deli""]","['western and cheese omelet', 'tostitos tortilla chips', 'grilled chicken quesadilla', 'grill chicken quesadilla', 'meatball hero']","['/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/302273-imperial-pizzeria/menu/']","[4, 2, 2, 2, 2]"
2226,hangover,['Yours Wholesome Foods Deli & Grocery'],"['water still', 'salty lemon up', 'dececco spaghetti', 'method all purpose cleaner', 'spaghetti garlic and olive oil']","['/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/318419-la-bella-vita/menu/']","[5, 4, 4, 3, 3]"
2227,happy family,['Hop Lee Restaurant'],"['happy family sandwich', 'organic valley whipping cream oz', 'bacon egg and cheese ham sandwich', 'ham egg and cheese sandwich', 'milk  organic valley']","['/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/']","[10, 3, 2, 1, 1]"
2228,happy family sandwich,['Arome Cafe'],"['happy family sandwich', 'organic valley whipping cream oz', 'bacon egg and cheese ham sandwich', 'ham egg and cheese sandwich', 'milk  organic valley']","['/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/']","[10, 3, 2, 1, 1]"
2229,happy mango roll,['Ageha Sushi'],"['happy mango roll', 'all fruit', 'vitamin water', 'vitamin water', 'vitamin water', 'vitamin water', 'vitamin water', 'vitamin water', 'vitamin water', 'vitamin water', 'mango bubble tea', 'mango each']","['/ny/new-york/335043-ageha-sushi/menu/', '/ny/new-york/228156-emack-bolio-s/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/360181-macchiato-espresso-bar/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/']","[10, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]"
2230,hard boiled egg,['Benvenuto Tribeca'],"['hardboiled egg', 'power breakfast wrap', 'milk  heavy half and half cream', 'cheese quesadilla', 'cheese quesadilla', 'cheese quesadilla', 'cheese quesadilla', 'cheese quesadilla', 'cheese quesadilla', 'cheese quesadilla', 'cheddar sandwich']","['/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/352334-rumours/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/4745-arome-cafe/menu/']","[10, 7, 6, 6, 6, 6, 6, 6, 6, 6, 5]"
2231,hard boiled eggs,"[""Andy's Deli""]","['ham', 'sliced cheeses', 'ham and swiss croissant', 'ham and cheese croissant', 'ham and cheese croissant', 'monte cristo sandwich']","['/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/360181-macchiato-espresso-bar/menu/', '/ny/new-york/366185-pushcart-coffee/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/']","[9, 9, 8, 8, 8, 7]"
2232,hardboiled country eggs,['Nourish Kitchen and Table'],"['lb bologna', 'mamma salad', 'western omelette', 'western omelette', 'western omelette', 'western omelette', 'western omelette', 'hard boiled eggs', 'hot roast beef']","['/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/4829-east-side-gourmet-deli/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/358862-andy-s-deli/menu/']","[2, 1, 1, 1, 1, 1, 1, 1, 1]"
2233,hardboiled egg,"[""Manny's Gourmet""]","['hardboiled egg', 'power breakfast wrap', 'milk  heavy half and half cream', 'cheese quesadilla', 'cheese quesadilla', 'cheese quesadilla', 'cheese quesadilla', 'cheese quesadilla', 'cheese quesadilla', 'cheese quesadilla', 'cheddar sandwich']","['/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/352334-rumours/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/4745-arome-cafe/menu/']","[10, 7, 6, 6, 6, 6, 6, 6, 6, 6, 5]"
2234,haribo gummy candies,['Houston Village Farm Deli Cafe & Grocery'],"['haribo gummy candy', 'starburst candy', 'large perrier', 'oreos', 'skittles', 'skittles']","['/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/361030-le-baratin/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/4745-arome-cafe/menu/']","[10, 4, 3, 2, 1, 1]"
2235,haribo gummy candy,['Yours Wholesome Foods Deli & Grocery'],"['haribo gummy candy', 'starburst candy', 'large perrier', 'oreos', 'skittles', 'skittles']","['/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/361030-le-baratin/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/4745-arome-cafe/menu/']","[10, 4, 3, 2, 1, 1]"
2236,haricot vert,['The East Wing fka The Havana Room'],"['haricots verts', 'string beans almondine', 'sauteed mixed vegetables', 'side of bacon  slices', 'tomatoes']","['/ny/new-york/361897-nourish-kitchen-and-table/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/250130-hop-lee-restaurant/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/']","[10, 10, 9, 6, 5]"
2237,haricots verts,['Nourish Kitchen and Table'],"['haricot vert', 'sauteed mixed vegetables', 'string beans almondine', 'side of bacon  slices', 'tuna lover', 'tuna lover']","['/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/250130-hop-lee-restaurant/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/333616-ajisai-japanese-restaurant/menu/', '/ny/new-york/335043-ageha-sushi/menu/']","[10, 10, 10, 8, 4, 4]"
2238,harmless harvest organic coconut water,['Yours Wholesome Foods Deli & Grocery'],"['salami egg and cheese sandwich', 'preserved meat delight', 'pesto chicken salad sandwich', 'oz wheat grass', 'house special']","['/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/361013-salud-soho/menu/', '/ny/new-york/355931-delimarie/menu/']","[7, 5, 5, 4, 4]"
2239,harney  sons tea,['Yours Wholesome Foods Deli & Grocery'],"['harney and sons tea', 'teas tea black tea', 'flavored tea', 'tazo tea', 'passion cooler']","['/ny/new-york/361013-salud-soho/menu/', '/ny/new-york/333734-chopt-creative-salad-co/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/228156-emack-bolio-s/menu/']","[10, 8, 8, 5, 5]"
2240,harney and sons tea,['SALUD Soho'],"['harney and sons tea', 'teas tea black tea', 'flavored tea', 'tazo tea', 'passion cooler']","['/ny/new-york/361013-salud-soho/menu/', '/ny/new-york/333734-chopt-creative-salad-co/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/228156-emack-bolio-s/menu/']","[10, 8, 8, 5, 5]"
2241,harumaki,['Ageha Sushi'],"['arm  hammer pure baking soda lb', 'clam chowder soup', 'gyoza', 'minced pork', 'pork gyoza']","['/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/335043-ageha-sushi/menu/', '/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/333616-ajisai-japanese-restaurant/menu/']","[10, 10, 1, 1, 1]"
2242,harvest bowl,['Chopt Creative Salad Co.'],"['harvest bowl', 'sliced peppers', 'head and shoulders', 'mixed vegetable slice', 'frisee aux lardons']","['/ny/new-york/333734-chopt-creative-salad-co/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/478425-monte-carlo/menu/']","[10, 10, 8, 6, 4]"
2243,harvest snaps,"[""America's Finest Deli""]","['farmers market corn salad', 'bounty small', 'bounty large', 'bounty', 'sauted snap peas side']","['/ny/new-york/360670-b4/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/478376-cafe-clover/menu/']","[10, 3, 3, 3, 2]"
2244,havarti,['Nordic Delicacies Inc'],"['turkey bacon guacamole panini', 'taco salad bowl', 'two eggs and cheese with sausage on a roll', 'two eggs with sausage on a roll', 'bowl of berries brunch']","['/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/380213-mexican-festival-restaurant/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/478376-cafe-clover/menu/']","[8, 7, 7, 7, 7]"
2245,havarti cheese,"[""Andy's Deli""]","['chicken club', 'fall spinach salad', 'chicken melt', 'dijon vinaigrette', 'sauteed spinach', 'sauteed spinach']","['/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/478376-cafe-clover/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/362949-gogo-grill/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/363962-prime-butcher-baker/menu/']","[8, 7, 5, 5, 4, 4]"
2246,hawaii roll,['Ageha Sushi'],"['ham and swiss croissant', 'ham and cheese croissant', 'ham and cheese croissant', 'monte cristo sandwich', 'monte cristo sandwich', 'spiral fries']","['/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/360181-macchiato-espresso-bar/menu/', '/ny/new-york/366185-pushcart-coffee/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/357738-grill-on-wheels/menu/']","[3, 3, 3, 3, 3, 3]"
2247,hawaiian,['Delimarie'],"['hawaiian', 'head and shoulders', 'dr pepper pulled pork slider', 'carnitas festival', 'pb  joe']","['/ny/new-york/355931-delimarie/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/360670-b4/menu/', '/ny/new-york/380213-mexican-festival-restaurant/menu/', '/ny/new-york/354954-juice-generation-greenwich/menu/']","[10, 5, 4, 2, 2]"
2248,hawaiian pizza,"['Pie Pie Pizza', 'La Bella Vita']","['topping pizza', 'fresh mozzarella', 'fresh mozzarella', 'fresh mozzarella', 'ham and cheese calzone', 'cheese calzone', 'cheese calzone', 'pepperoni pizza slice']","['/ny/new-york/314859-pie-pie-pizza/menu/', '/ny/new-york/360670-b4/menu/', '/ny/new-york/361702-12-corners/menu/', '/ny/new-york/4829-east-side-gourmet-deli/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/302273-imperial-pizzeria/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/']","[9, 9, 9, 9, 8, 8, 8, 5]"
2249,hawaiian pizza pie,"[""Fluffy's Café & Pizzeria.""]","['betty crocker bisquick', 'fresh mozzarella', 'fresh mozzarella', 'fresh mozzarella', 'sausage  peppers pizza pie', 'pepperoni pizza slice', 'canadian bacon']","['/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/360670-b4/menu/', '/ny/new-york/361702-12-corners/menu/', '/ny/new-york/4829-east-side-gourmet-deli/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/']","[7, 4, 4, 4, 3, 2, 2]"
2250,hawaiian quesadilla,['Yours Wholesome Foods Deli & Grocery'],"['fresh mozzarella sandwich', 'fresh mozzarella sandwich', 'fresh mozzarella sandwich', 'bbq chicken', 'bbq chicken', 'bbq chicken pizza pie', 'jalapeno', 'bbq chicken slice']","['/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/361013-salud-soho/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/352130-lucky-strike-lanes/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/']","[7, 7, 7, 6, 6, 6, 4, 3]"
2251,hawaiian slice,"[""Fluffy's Café & Pizzeria.""]","['hawaiian', 'head and shoulders', 'dr pepper pulled pork slider', 'carnitas festival', 'pb  joe']","['/ny/new-york/355931-delimarie/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/360670-b4/menu/', '/ny/new-york/380213-mexican-festival-restaurant/menu/', '/ny/new-york/354954-juice-generation-greenwich/menu/']","[10, 5, 4, 2, 2]"
2252,hazelnut,"[""Emack & Bolio's""]","['hazelnut flavored coffee', 'chocolate tart', 'betty crocker pound cake mix', 'santa fe salad', 'bonne maman strawberry jam preserves']","['/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/477580-upland/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/333734-chopt-creative-salad-co/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/']","[9, 9, 6, 6, 5]"
2253,hazelnut coffee,"[""Manny's Gourmet""]","['flavored lemonade', 'fresh lemonade', 'fresh lemonade', 'tiramisu', 'tiramisu', 'tiramisu', 'tiramisu', 'coffee', 'coffee', 'coffee', 'coffee', 'coffee', 'coffee', 'coffee', 'coffee', 'coffee', 'coffee', 'coffee', 'coffee', 'iced american coffee']","['/ny/new-york/228156-emack-bolio-s/menu/', '/ny/new-york/308682-falafel-on-broadway/menu/', '/ny/new-york/361013-salud-soho/menu/', '/ny/new-york/2796-dessert-delivery/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/356523-fp-patisserie/menu/', '/ny/new-york/356687-ciccio/menu/', '/ny/new-york/141126-cc-s-cafe/menu/', '/ny/new-york/228156-emack-bolio-s/menu/', '/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/314788-casa-loca/menu/', '/ny/new-york/352130-lucky-strike-lanes/menu/', '/ny/new-york/356523-fp-patisserie/menu/', '/ny/new-york/357760-cafe-nadery/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/360181-macchiato-espresso-bar/menu/', '/ny/new-york/361048-wayside/menu/', '/ny/new-york/361702-12-corners/menu/', '/ny/new-york/365758-blu-cafe/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/']","[8, 8, 8, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
2254,hazelnut flavored coffee,['Bagel Boss'],"['chocolate tart', 'hazelnut', 'praline truffles', 'cheesecakes', 'mocha latte']","['/ny/new-york/477580-upland/menu/', '/ny/new-york/228156-emack-bolio-s/menu/', '/ny/new-york/356523-fp-patisserie/menu/', '/ny/new-york/2796-dessert-delivery/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/']","[10, 9, 8, 6, 5]"
2255,hazelnut nutella crepe,['Cafe Nadery'],"['mini croissant', 'german chocolate cake', 'german chocolate cake', 'banana bread', 'lays', 'cookie', 'cookie', 'cookie']","['/ny/new-york/358920-sasha-s-coffee/menu/', '/ny/new-york/2796-dessert-delivery/menu/', '/ny/new-york/381300-north-river/menu/', '/ny/new-york/362955-rex-coffee/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/360181-macchiato-espresso-bar/menu/', '/ny/new-york/361702-12-corners/menu/']","[2, 1, 1, 1, 1, 1, 1, 1]"
2256,head and shoulders,"[""America's Finest Deli""]","['sliced peppers', 'harvest bowl', 'homemade gefilte fish', 'carnitas festival', 'carnitas taco', 'carnitas taco']","['/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/333734-chopt-creative-salad-co/menu/', '/ny/new-york/363962-prime-butcher-baker/menu/', '/ny/new-york/380213-mexican-festival-restaurant/menu/', '/ny/new-york/358105-no-fun-featuring-dorante-s-cocina/menu/', '/ny/new-york/360673-taqueria-diana/menu/']","[9, 8, 8, 6, 5, 5]"
2257,head of romain  california,['Benvenuto Tribeca'],"['poached eggs', 'tossed green salad', 'classic caesar', 'classic caesar', 'classic caesar salad', 'classic caesar salad', 'b grill cheese sandwich']","['/ny/new-york/378993-cafe-standard/menu/', '/ny/new-york/302273-imperial-pizzeria/menu/', '/ny/new-york/352334-rumours/menu/', '/ny/new-york/478425-monte-carlo/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/318476-q-n-foods/menu/']","[8, 8, 7, 7, 7, 7, 7]"
2258,headache remedies,['Houston Village Farm Deli Cafe & Grocery'],"['guacamole  chips', 'chips and guacamole', 'chips and guacamole', 'tortilla chips  guacamole', 'tortilla chips guacamole and salsa', 'sugar brioche']","['/ny/new-york/314788-casa-loca/menu/', '/ny/new-york/337547-pinche-taqueria/menu/', '/ny/new-york/358105-no-fun-featuring-dorante-s-cocina/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/356523-fp-patisserie/menu/']","[7, 7, 7, 7, 7, 5]"
2259,health,['Macchiato Espresso Bar'],"['health salad', 'lucky girl spice', 'cole slaw', 'cole slaw', 'cole slaw', 'extra oil and vinegar dressing', 'house refresher']","['/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/358572-provocateur/menu/', '/ny/new-york/358848-nordic-delicacies-inc/menu/', '/ny/new-york/363962-prime-butcher-baker/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/302273-imperial-pizzeria/menu/', '/ny/new-york/361897-nourish-kitchen-and-table/menu/']","[10, 9, 9, 9, 9, 9, 8]"
2260,health salad,['Bagel Boss'],"['health salad', 'lucky girl spice', 'cole slaw', 'cole slaw', 'cole slaw', 'extra oil and vinegar dressing', 'house refresher']","['/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/358572-provocateur/menu/', '/ny/new-york/358848-nordic-delicacies-inc/menu/', '/ny/new-york/363962-prime-butcher-baker/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/302273-imperial-pizzeria/menu/', '/ny/new-york/361897-nourish-kitchen-and-table/menu/']","[10, 9, 9, 9, 9, 9, 8]"
2261,health shake,"[""Emack & Bolio's""]","['mango strawberry smoothie', 'medjool date omelette', 'new york style cheesecake bites', 'fried green tomatillos', 'iced cappucino']","['/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/357760-cafe-nadery/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/355571-morris-grilled-cheese/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/']","[5, 5, 3, 3, 2]"
2262,healthy dose juice,['Benvenuto Tribeca'],"['endive caesar salad', 'ice cream or sorbet', 'caesar dressing', 'sabra hummus  oz', 'sabra hummus']","['/ny/new-york/342726-sakamai/menu/', '/ny/new-york/477580-upland/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/']","[6, 5, 5, 5, 5]"
2263,healthy egg white wrap,"[""Fluffy's Café & Pizzeria."", ""America's Finest Deli""]","['kale avocado salad', 'classic macaroni salad', 'sundried tomatoes', 'sundried tomatoes', 'skewer of chicken', 'sauteed onions']","['/ny/new-york/354954-juice-generation-greenwich/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/352334-rumours/menu/']","[6, 5, 5, 5, 4, 4]"
2264,healthy omelet,"[""Manny's Gourmet""]","['broccoli', 'broccoli', 'broccoli', 'broccoli', 'classic omelette', 'turkey delight', 'yukon mashed potatoes', 'steak and eggs']","['/ny/new-york/334552-ippin/menu/', '/ny/new-york/363962-prime-butcher-baker/menu/', '/ny/new-york/365034-hibachi-heaven/menu/', '/ny/new-york/380213-mexican-festival-restaurant/menu/', '/ny/new-york/361030-le-baratin/menu/', '/ny/new-york/355931-delimarie/menu/', '/ny/new-york/363962-prime-butcher-baker/menu/', '/ny/new-york/361030-le-baratin/menu/']","[10, 10, 10, 10, 9, 9, 9, 8]"
2265,healthy start omelette,"[""Fluffy's Café & Pizzeria.""]","['veggie omelet', 'abc juice', 'huevos rancheros', 'huevos rancheros', 'silver lining', 'grilled cheese sandwich', 'grilled cheese sandwich', 'grilled cheese sandwich', 'grilled cheese sandwich']","['/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/337547-pinche-taqueria/menu/', '/ny/new-york/358572-provocateur/menu/', '/ny/new-york/2990-byblos/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/4829-east-side-gourmet-deli/menu/']","[7, 6, 4, 4, 3, 3, 3, 3, 3]"
2266,healthy tuna,"[""Manny's Gourmet""]","['tuna sandwich', 'italian tuna sandwich', 'spring water', 'garofalo whole wheat spaghetti', 'garofalo whole wheat pasta']","['/ny/new-york/4829-east-side-gourmet-deli/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/333616-ajisai-japanese-restaurant/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/']","[1, 1, 1, 1, 1]"
2267,healthy tuna sandwich,"[""Manny's Gourmet""]","['low fat veggie tuna sandwich', 'simple egg sandwich', 'kobe beef rice', 'spaghetti bolognese lunch', 'italian tuna wrap']","['/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/361048-wayside/menu/', '/ny/new-york/363962-prime-butcher-baker/menu/', '/ny/new-york/337190-da-noi/menu/', '/ny/new-york/318476-q-n-foods/menu/']","[10, 7, 5, 4, 4]"
2268,healthy wrap,['Q & N Foods'],"['piece grape leaves', 'grape leaves', 'kale avocado and egg wrap', 'breakfast burrito', 'breakfast burrito', 'cider']","['/ny/new-york/308682-falafel-on-broadway/menu/', '/ny/new-york/360762-sam-s-falafel-stand/menu/', '/ny/new-york/361013-salud-soho/menu/', '/ny/new-york/337547-pinche-taqueria/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/358904-culture-fix/menu/']","[3, 3, 2, 2, 2, 2]"
