name	menu_link	type	address	lon	lat	is_location_valid
Nolita Mart & Espresso Bar	/ny/new-york/359514-nolita-mart-espresso-bar/menu/	Coffee & Tea	156 Mott St New York, NY, 10013	-73.9960525059284	40.71941645	true
Comme Ci, Comme Ca	/ny/new-york/359671-comme-ci-comme-ca/menu/	Moroccan, Sandwiches	Location Varies New York, NY, 10022	0	0	false
Taqueria Diana	/ny/new-york/360673-taqueria-diana/menu/	Mexican	129 2nd Ave New York, NY, 10003	-73.98810013290193	40.728519950000006	true
Wayside	/ny/new-york/361048-wayside/menu/	Coffee & Tea, Sandwiches, Local/Organic	139 E 12th St New York, NY, 10003	-73.98830682472428	40.7321978	true
SALUD Soho	/ny/new-york/361013-salud-soho/menu/	Smoothies & Juices, Vegetarian, Healthy, Latin American, Vegan, Local/Organic	107 Thompson St New York, NY, 10012	-74.0021222959816	40.72584405	true
Mos	/ny/new-york/360951-mos/menu/	Wings, Bar Food	80 Lafayette Ave New York, NY, 11217	-73.9747397	40.6870703	true
Sasha's Coffee	/ny/new-york/358920-sasha-s-coffee/menu/	Coffee & Tea	711 Amsterdam Ave New York, NY, 10025	-73.9707455	40.7931393	true
Andy's Deli	/ny/new-york/358862-andy-s-deli/menu/	Deli Food, Sandwiches, Salads	291 Broadway New York, NY, 10007	-74.0060767	40.7149137	true
Provocateur	/ny/new-york/358572-provocateur/menu/	Sushi, Tapas, Bar Food, Cocktails	18 9th Ave New York, NY, 10014	-74.00571114407973	40.73987685	true
Nordic Delicacies Inc	/ny/new-york/358848-nordic-delicacies-inc/menu/	Deli Food, Scandinavian	6909 3rd Ave New York, NY, 11209	-74.02589676824238	40.63534475	true
No Fun: Featuring Dorante's Cocina	/ny/new-york/358105-no-fun-featuring-dorante-s-cocina/menu/	Bar Food, Cocktails	161 Ludlow St New York, NY, 10002	-73.98790196170113	40.72145495	true
Estela	/ny/new-york/357297-estela/menu/	Mediterranean, Tapas	47 E Houston St New York, NY, 10012	-73.99476689398942	40.7246346	true
Ciccio	/ny/new-york/356687-ciccio/menu/	Italian	190 6th Ave New York, NY, 10013	-73.9778681983565	40.6759806	true
Bagel Boss	/ny/new-york/368500-bagel-boss/menu/	Deli Food, Bagels, Salads, Kosher	544 3rd Ave New York, NY, 10016	-73.9773631832979	40.74727145	true
Cafe Standard	/ny/new-york/378993-cafe-standard/menu/	American	25 Cooper Sq New York, NY, 10003	-73.9907398	40.727834	true
1200 Miles	/ny/new-york/378990-1200-miles/menu/	French	31 W 21st St New York, NY, 10010	-73.992128	40.7411298	true
Fahima Halal	/ny/new-york/361473-fahima-halal/menu/	Middle Eastern	47th St New York, NY, 10017	-73.91891	40.737357	true
XPL Halal Food Truck	/ny/new-york/361539-xpl-halal-food-truck/menu/	Middle Eastern	SW Corner of 48th St & Park Ave New York, NY, 10017	0	0	false
12 Corners	/ny/new-york/361702-12-corners/menu/	Coffee & Tea, Sandwiches	155 E Broadway New York, NY, 10002	-73.9906331	40.7138631	true
Nourish Kitchen and Table	/ny/new-york/361897-nourish-kitchen-and-table/menu/	American (New), Vegetarian, Local/Organic	95 Greenwich Ave New York, NY, 10014	-74.0017655	40.7374125	true
